s,name
10303489b,Edifício do Tribunal de Justiça de São Paulo
103038475m,Aldeburgh Museum
1030463b,Mode Gakuen Cocoon Tower
103054216m,Alfred Corry Lifeboat Museum
10306409m,Xinjiang Geological and Mineral Resources Museum
1030648m,Campbeltown Library and Museum
1031113m,Géza Gárdonyi Memorial Museum
1031457m,Göcsej Village Museum
1031481m,Town Museum of Gödöllő
103160541m,Allen Gallery
1031614b,Campo santo
1031728b,Camsdorf Bridge
103185520m,Bucelas Wine and Vineyard Museum
1031867b,City Tunnel
1031914b,Budapest HÉV Line 5
1031997b,Canada Line
1032050m,Canadian Canoe Museum
1032083m,Canadian Country Music Hall of Fame
1032137b,HSL 1
1032141b,HSL 3
1032147b,HSL 4
1032188b,Canadian Light Source
1032205b,Clermont-Ferrand Cathedral
1032216m,Canadian National Collection
1032248b,Habitat 67
10322927m,Madeira Story Centre
10323861b,Mansão Margarida Costa Pinto
103252424m,Thomas Newbern Museum
1032536b,Canal Vauban
1032560b,Canal de Castilla
1032571b,Canal de Bourgogne
1032573b,Canal de Marseille
1032581b,Nantes-Brest canal
1032584b,Embranchement de Belfort
1032612b,Marne–Rhine Canal
1032619b,Canal de l'Oise à l'Aisne
1032646b,Canal de l'Ourcq
1032662b,Canal du Loing
1032663b,Canal du Centre
1032676b,Rove Tunnel
1032687b,Canal du Centre
1032694b,canal d'Ille-et-Rance
1032697b,Canal latéral à la Loire
1032707b,Canal de Garonne
1032811b,Canary Wharf
1032842b,Canary Wharf tube station
10328528m,Antiga Estação Férrea de Santo Ângelo
10328537m,Museu do Grêmio Hermínio Bittencourt
10328555m,Memorial da Resistência Mossoroense
10328557m,Memorial da Resistência de São Paulo
10328569m,Memorial dos Governadores Republicanos da Bahia
1033076b,Candlestick Park
103308727m,Alyth Museum
1033099b,Grand Lisboa
103310055m,Amelia Earhart Cottage Museum
1033194b,French King Bridge
10332618h,Mosteiro de Flor da Rosa
10332621m,"Mosteiro de Jesus, compreendendo o túmulo de Santa Joana"
103331335h,"32 Bond Street, Ross"
10333375m,Afro-Brazilian Museum
10333377m,Museum Afro Brasil
10333378m,The Ainu Museum
10333380m,Museu Alfredo Andersen
10333383m,Museu Amazônico
10333395m,Medeiros e Almeida House-Museum
10333398m,Museum Aristides Carlos Rodrigues
10333407m,Museum Baron Martin
10333410m,Museum of Fine Arts of São Paulo
10333412m,Museu Biológico do Instituto Butantan
10333417m,Museu Campos Gerais
10333422m,Carlos Machado Museum
10333425m,Museu Casa Rosa
10333430m,Museu Casa de Benjamin Constant
10333433m,Museu Casa do Pontal
10333434m,Santos Dumont House Museum
10333435m,Casa dos Contos
10333439m,Schmitt-Presser Museum
10333443m,"Museu ""Câmara Cascudo"""
10333445m,Dimitri Sensaud de Lavaud Museum
10333446m,Dom Diogo de Souza Museum
10333447m,Museu das Culturas Dom Bosco
10333459m,Museu Zoroastro Artiaga
10333470m,Museu Exploratório de Ciências da Unicamp
10333473m,Farroupilha Museum
10333475m,Museu da Companhia Paulista
10333490m,Museu Geológico Valdemar Lefèvre
10333492m,Museu Geológico da Bahia
10333494m,Museu Henrique e Francisco Franco
10333495m,Museu Herculano Pires
10333496m,Abílio Barreto History Museum
10333504m,Historical Museum of Abomey
10333505m,Museu Histórico da Imigração Japonesa no Brasil
10333519m,Museu Atelier Homero Massena
10333521m,Museu Integrado de Roraima
10333524m,José Antônio Pereira Museum
10333525m,Museu de Porto Alegre Joaquim Felizardo
10333527m,João Fona cultural centre
10333530m,Museu Judaico de Belmonte
10333544m,Museu Militar de Lisboa
10333548m,Museu Monográfico de Conimbriga
10333549m,Mineiro Museum
10333565m,Museum of Caxias do Sul City
10333579m,Museu Municipal de Vila Franca de Xira
10333582m,National Museum of the Brazilian Republic
10333586m,"National Museum of Natural History and Science, Lisbon"
10333587m,Museo Nacional de Arte (Bolivia)
10333588m,Museu Nacional de Antropologia
10333594m,Museu do Mar
10333606m,Museu Paranaense
10333616m,"Museu Republicano ""Convencão de Itú"""
10333623m,Museu Rural Ponte de Lima
10333626m,Museu Sacaca
10333630m,Monjardim Manor House
10333634m,Museu Théo Brandão
10333635m,Tiradentes Museum
10333643m,Museu Vivo da Memória Candanga
10333645m,Museu da Abolição
1033364b,Palais Nikaia
10333651m,Museu da Borracha Governador Geraldo Mesquita
10333652m,Museu da Cachaça
10333659m,Museu da Casa Brasileira
10333666m,City Museum of Salvador
10333675m,Museum of Lavra School
10333677m,Museu da Escrita do Sudoeste
10333684m,Museu da Gente Sergipana
10333689m,Museu da Horta
10333691m,Museu da Imagem e do Som
10333696m,Museu da Imigração
10333699m,Museu da Inconfidência
10333701m,Madness Museum
10333707m,Museu da Pessoa
10333716m,Museu da Sociedade de Geografia
10333723m,Water Museun of Blumenau
10333730m,MM Gerdau - Mines and Metal Museum
10333732m,Mission Museum
10333734m,Belo Horizonte Telecommunications Museum
10333736m,Museum of Veterinary Anatomy FMVZ USP
10333737m,Convent of São Francisco
10333742m,Museu de Arqueologia de Ponta Grossa
10333744m,Museu de Arqueologia de Itaipu
10333749m,Assis Chateaubriand Museum of Art
10333751m,Museum of Brazilian Art of FAAP
10333771m,Museu de Arte Popular
10333779m,Museu de Arte Sacra de Grândola
10333783m,Pernambuco Museum of Sacred Art
10333786m,Museu de Arte Sacra de Santiago de Cacém
10333787m,Museum of Sacred Art in Santos
10333791m,Art Museum of Belém
10333792m,Cascavel's Art Museum
10333795m,Museu de Arte de Londrina
10333796m,Museu de Arte do Espírito Santo Dionísio del Santo
10333800m,Museu de Artes e Ofícios
10333804m,Museum of Astronomy and Related Sciences
10333805m,Museu de Biologia Professor Mello Leitão
10333812m,Natural Science Museum of the Amazon
10333813m,Morphological Sciences Museum
10333814m,Natural Sciences Museum of the Pontifical Catholic University of Minas Gerais
10333815m,Museu de Ciências Naturais da Fundação Zoobotânica do Rio Grande do Sul
10333819m,Earth Sciences Museum
10333822m,Museu de Comunicação Social Hipólito José da Costa
10333826m,Museu de Eletricidade - Casa da Luz
10333827m,Energy Museum
10333830m,Gems museum of Pará
10333843m,Museu de Imagens do Inconsciente
10333845m,Lamego City Museum
10333852m,Professor Djalma Guimarães Museum of Mineralogy
10333862m,Portimao Museum
10333871m,Museu de Valores do Banco Central do Brasil
10333883m,Museu do Brinquedo Português
10333888m,Museu do Ciclismo
10333902m,Museu do Homem do Nordeste
10333903m,Museu do Homem do Norte
10333905m,Museum of the Historical and Geographic Institute of Alagoas
10333913m,Museu do Oratório
10333917m,Museu do Porto
10333923m,Museu do Recôncavo Wanderley Pinho
10333928m,Museum of Samba
10333933m,Museu do Sertão
10333942m,Museu do Trabalho
10333944m,Gaetano Ferolla Museum of Public Transport
10333945m,Museu do Tropeiro
10333953m,"Museu dos Baleeiros (Lajes, Azores)"
10333961m,Dinosaur Museum
10333962m,Gioconda Giannini Glasses Museum
10333968m,Museus Castro Maya
1033431b,Canning Town
1033457m,Hamza Museum
10334902m,Música no Museu
1033493m,California State Indian Museum
1033599b,Canons Park tube station
1033769m,Canterbury Museum
10338552m,Núcleo Museológico da Cidade do Açúcar
10343921m,Antônio Lemos Palace
10343928h,Palácio Belmonte
10343957m,Palácio Lauro Sodré
10343992m,Palácio da Justiça
10344021h,Palácio de Estói
10344050m,Palácio do Ingá
10344053m,Antigo Palácio do Governo (Forte Apache)
1034422b,Cape Foulwind Lighthouse
10344974m,Parque Ecológico do Tietê
10345042m,Serra do Conduru State Park
10345138m,Parque Histórico de Carambeí
10345140m,Antigo Engenho de Mate da Rondinha
10345232m,Mãe Bonifácia State Park
1034624b,Ha'penny Bridge
10346950b,Pavilhão Rosa Mota
10346952m,Pavilhão da Água
1034843b,Cappella Colleoni
10349776m,Pinacoteca APLUB
10349778m,Pinacoteca Barão de Santo Ângelo
10349779m,Pinacoteca Benedito Calixto
10350268m,Professor Aristóteles Orsini Planetarium
1035131b,Hell Gate Bridge
10351375b,São Vicente Suspension Bridge
10351377b,Ponte Rainha Santa Isabel
