s,name
107398243b,Blackwall Tunnel (eastern)
107398366b,Blackwall Tunnel (western)
107412812m,"District Archaeological Museum, Karimnagar"
107423789m,Kurd's Heritage Museum (Sulaymaniyah)
1074280m,China Railway Museum
10743280m,B-52 Victory Museum
10743287m,Vietnamese Women’s Museum
107442713m,KunstMuseum Donau-Ries
107456419m,Museo de Alcalá de Guadaíra
107456428m,Museo de Nerja
107463187m,Beatty Museum
107463964m,Rede Mineira de Viação 213
107465011b,town hall of Clermont-Ferrand
107466996m,railway station of Montoire-sur-le-Loir
107467337m,Rudný důl a hornické muzeum
107473843b,Lower Murayama Dam
107475211m,Museum Gazhane
10747862b,Aurora Tower
1074875b,Chiswick Park tube station
107498199m,Columbus Collective Museums
107506185m,Swedish Holocaust Museum
107509424m,Museu de l'arròs de València
107510062m,Museu de la Setmana Santa Marinera
1075141m,National Museum of the American Indian
10752407b,Trang Tien Bridge
1075303b,Octávio Frias de Oliveira Bridge
107532645b,Ursulaberg Tunnel
107540952m,Iranian National Museum of Science and Technology
1075580m,Museo Nazionale Alinari della Fotografia
107564272m,Fine Arts Museum of Toluca
107566838b,barrage de Nancy
107586063m,Lahälla Sett Factory
107587658m,Byzantine Ecclesiastical Museum of Kythnos
107591230m,"Karaeva Street, 4"
1075988b,Louvre Palace
107599840m,Urueña Gramophone Museum
1076004b,Khomeini Mausoleum
107607598h,Hotel Dudley
107611900m,Ignacio Zuloaga Museum
1076120b,Chongryu Bridge
107615632m,Antigo Museu de Arte Moderna de São Paulo
107615667m,Écomusée Marbre et Terroir
107616423m,Douglas County Museum
1076211b,Église Saint-Philippe-du-Roule
107621538m,Musée de la Chapellerie
107622221m,Sudetendeutsches Museum
107622299m,Webster Cottage
107656756m,Museum EICAS
107657705m,World of Glass
107658309m,Villaggio preistorico di monte Corgnon
107672636m,Peoples Mortuary Museum
107675164b,301 Howard Street
107689821m,Historic Old Salt Museum
107697656b,Pasarela peatonal sobre el Lérez
107701832m,Kampong Ayer Cultural and Tourism Gallery
107703204b,Puente de la Palabra
107704080b,Puente de la Ría
1077124b,Uchinoura Space Center
1077240b,New Europe Bridge
1077327b,Luang Prabang International Airport
107741255b,Museumparkbrug
107746324b,Kander Viaduct
107751617b,Nachtigallbrücke
107752057m,Museum of Senses
107779187m,Cedartown Museum of Coca-Cola Memorabilia
1077968b,North Cape Tunnel
1077970b,Christ Church Greyfriars
107803769m,Singapore Musical Box Museum
1078111b,Budapest Metro Line 1
1078478b,LGV Interconnexion Est
10788563b,Amazon Court
107929632m,Fred Turner Museum
107931432m,Reza Shah Museum
107992494m,The Old School
107998904b,The Forrest Centre
108002614m,Waitomo Caves Museum
108003928m,Italian American Museum of Cleveland
10800b,Bundesautobahn 31
108022061m,Birmingham Black Radio Museum
10802b,Bundesautobahn 33
108039722m,Cahaba Museum and Conference Center
10803b,Bundesautobahn 37
108042270m,Tangwick Haa museum
10804b,Bundesautobahn 38
1080527b,Union Station
10805b,Bundesautobahn 39
108060729b,Glen Gardner Pony Pratt Truss Bridge
1080619b,San Zan Degola
108063855b,Connaught Bridge
10808b,Bundesautobahn 40
108092245m,Cook Islands National Museum
108097006m,Colón 10
108098815b,275 Madison Avenue
10809b,Bundesautobahn 42
108107186b,Kratter Building
10810b,Bundesautobahn 43
108116678b,Cornelis van Beverenbrug
108119889m,Museo d'arte Sacra di Mandello
108121142m,Museum Prague Magic Garnet
10812b,Bundesautobahn 44
10813b,Bundesautobahn 45
108140121m,MAM Museo d'arte contemporanea
108142914m,Valhalla Museum
10815b,Bundesautobahn 46
10817312m,Polabské národopisné muzeum
108177396m,Varallo fishing museum
10817b,Bundesautobahn 48
108183240m,MATer - Museum of Archaeology and Territory
1081902b,Bergamo Cathedral
108198048m,Jibei Cultural Museum of Stone Tidal Weirs
10820b,Bundesautobahn 49
10821b,Bundesautobahn 52
108220438m,Museu da Água
108220631m,"Museu Manoel do Espírito Santo ""Rei da Água"""
108221387m,Museu do Cangaço e da Cidade
108221585m,Museu Histórico Emílio da Silva
108222845m,Museo La Ca de Radio Vecc
108225542m,La casa dei presepi
108225576m,Museo della barca lariana
10822b,Bundesautobahn 57
10824b,Bundesautobahn 59
108254635m,Huanaki Cultural Centre & Museum
108266972b,Dubrucq Bridge
10826b,Bundesautobahn 60
108272976m,Geological Museum of Guizhou
10827b,Bundesautobahn 61
10828b,Bundesautobahn 62
108290067b,Key Bank Tower
108294146h,"Flour Mill at 129 Port avenue, Valencia"
10829b,Bundesautobahn 63
108309815h,Can Cera
108316945b,Styrumer Brücke
108317025m,Musée de Lourdes
10831b,Bundesautobahn 64
1083336b,Annecy Cathedral
10833b,Bundesautobahn 65
10834b,Bundesautobahn 66
1083571b,Malaysia–Singapore Second Link
10835b,Bundesautobahn 67
108381199m,Butcher Row House Museum
108386615b,Schmelzbrücke
108386838m,Seneca Iroquois National Museum
108387068b,Ponte Rodoviária de Alcácer do Sal
10838b,Bundesautobahn 70
1083927b,Cathedral of Christ the King
10839b,Bundesautobahn 71
1084011b,Nice Cathedral
108409046m,Bottega Pagni
108409145m,The Kupferman Collection House
10841b,Bundesautobahn 72
108422548m,Canada Agriculture and Food Museum
108428457m,Pulu Cocos Museum
10844b,Bundesautobahn 73
10846b,Bundesautobahn 81
108471226m,Tāoga Niue Museum
108474261m,"Museum of Printing, Birkenhead"
10847b,Bundesautobahn 92
108487666m,Exmouth Museum
10848b,Bundesautobahn 93
10849b,Bundesautobahn 94
1085042b,Villa San Giovanni metro station
108504324m,Merab Kostava House-Museum
1085053b,Sesto Rondò metro station
1085075b,Gorla metro station
1085126b,Lotto metro station
1085136b,Precotto metro station
108516880h,Villa Balbi
10851b,Bundesautobahn 95
108527887m,Pacifica Coastside Museum
10853550b,Monza Tunnel
10853b,Bundesautobahn 96
108542322m,Itsanitaq Museum
108544634m,Panauti Museum
10854906m,Arboretum Nový Dvůr
10854b,Bundesautobahn 98
10855544m,Galleria dell'Accademia
10855565m,National Children’s Science Center
10855b,Bundesautobahn 99
10856362m,Daimyo Clock Museum
108563837m,Museum Directorate of Bodrum Underwater Archaeology
10856627m,Valdresmusea
10856828m,Museum of Novojičín
10857965b,Zdymadlo Střekov
1085934b,Line 1
108595725m,School building in Kobona
108596099m,L'Envol des pionniers
108603223m,Mikis Theodorakis Museum
108608175m,Cyclades Olive Museum
108608195m,Folklore Museum of Santorini
108608377m,Wine Museum
108611520m,Folklore Museum
108611522m,Modern Art Museum
108611526m,Agricultural Museum
108611527m,Engares Olive Press Museum
108611530m,Geological Museum
108611531m,Byzantine Art Museum
108611533m,Wine Museum
108611534m,Lost Atlantis Experience
108611537m,Vamvakaris Museum
108611545m,Ecclesiastical Museum of Leros
108611555m,Barbayannis Ouzo Museum
108611568m,Xenopoulos Museum
108611569m,Folklore Museum
108611573m,Folklore Museum
108611574m,Mavrikis Folklore Museum
108611575m,Folklore Museum
108611576m,Photographic Centre
108611578m,Folklore Museum
108611582m,Greek School Museum
108634856m,Musée lapidaire de Carcassonne
1086358b,St. Rumbold's Cathedral
10863722m,"""Years of Music"" Audio Museum"
108649946m,Folklore Museum of Lemnos
108650619m,Folk Art Museum
108650964m,Ecclesiastical Museum of Hydra
108651046m,Ethnological and Folklore Museum of Chios
108651193m,Foklore Museum of Sitia
108651215m,Museum of Greek Children Art
108651268m,Theologos Folklore Museum
108651269m,Folklore Museum of Kalymnos
108651654m,History of Sundaland Museum
108652046m,Folklore Museum of Paxi
108653649m,Urumqi Science and Technology Museum
1086620b,Stadio Nereo Rocco
108665756m,Museum of History and Art
10866604m,Sanyi Wood Sculpture Museum
10866733m,Sansu Temple
108670178m,Castle House Museum
108674594m,Komboloi Museum
108674606m,Museum of Illusions
108674650m,Folklore and Historical Museum of Milos
108674660m,Natural History Museum
108675768m,Museum of Natural History
10867628m,Shanghai Museum of Traditional Chinese Medicine
10867665m,Shanghai Jiao Tong University History Museum
10867747m,Shanghai Public Security Museum
10867750m,Shanghai Animation Museum
10867779m,Shanghai Earthquake Science Museum
10867887m,Shanghai Municipal Museum
10867961m,Shanghai Fire Museum
10867963m,Shanghai Songhu Anti-Japanese War Memorial Hall
10868001m,Shanghai Optical Museum
10868015m,Shanghai Textile and Costume Museum
10868097m,Shanghai Yangtze Estuary Science and Technology Museum
108690634m,Barock Baumeister Museum
108701542m,Museum of Design in Plastics
1087026b,Garibaldi FS metro station
1087032b,Rho Fiera metro station
1087090b,Lampugnano metro station
1087102b,Pasteur metro station
108713545b,post office of Poitiers
10872275m,Chinese Surname Museum
10872783m,Three Gorges Museum
108729880h,Kasteel Solhof
10873151m,China Sports Museum
10873273m,China Arms Museum
1087332b,Christuskirche
10873512m,Yifu Museum
10873668m,China Industrial Museum
10873847m,Chinese Wushu Museum
10873908m,China Tobacco Museum
10873909m,China Coal Museum
10873917m,National Museum of Modern Chinese Literature
108739716m,Diakoniemuseum Rummelsberg 47
10874083m,China Maritime Museum
108741625b,Drennec dam
108742272m,Onondaga Historical Association
108742783m,Kitron Naxou distillery (Vallindras Museum) in Chalkio
108749353m,Caguas Museum of Folk Arts
108749386m,Caguas Museum of Art
108749394m,Caguas Museum of History
108749489m,Casa Nemesio Canales
10875315m,Sun Yat-sen Memorial Hall (Wuzhou)
1087561b,LGV Rhin-Rhône
108757013m,Film Legends Museum Prague
1087580b,Sant’Ambrogio metro station
1087587b,Madrid–Seville high-speed rail line
1087591b,Bonola metro station
1087612b,Buonarroti metro station
108761852m,Wieden district museum
1087622b,San Babila metro station
1087670b,Cairoli metro station
108769254m,Hibulb Cultural Center
108769294m,Sky City Cultural Center and Haak'u Museum
108769407b,Maison internationale
10877136m,Linyi Confucian Temple
10877766m,Memorial Hall of the Boxer Uprising
108781876m,Les Caves du Louvre
108784201m,Museum 1900
10878634m,9.18 Historical Museum
108793523b,Serres du Parc André-Citroën
108800415m,Ermanno Casoli Museum
108800592m,Natural History Museum
1088015b,St Andrew's Cathedral
108806942m,Unst Heritage Centre
108806949m,Unst Boat Haven
108816562m,Cin Ali Museum
1088225b,Affori FN metro station
1088234b,San Donato metro station
1088305b,Zara metro station
10883832m,Núcleo Museológico da Santa Casa da Misericórdia de Macau
108854328m,Alexis Le Gall cannery museum
108865621b,Riou-de-Gourdon bridge
108865646h,Lamar Hotel
108865673h,Union Hotel
108866931m,Thanh Hoa Provincial Museum
10887268m,Hou Baolin's Former Residence
108872896m,Yen Bai provincial museum
1088746b,Corvetto metro station
108875690m,Bac Ninh provincial museum
1088801b,Rogoredo FS metro station
108882161m,Sick To Death
108882994m,W Hourston Blacksmiths Museum
108885241m,Ådalens industrimuseum
108885314m,Sandslåns flottningsmuseum
1088856b,Gorgonzola metro station
108887607m,Brockville Museum
108887608m,Museum Al-Qur’an PTIQ
108896736m,Museum of Timber Rafting
108896775m,water mill
108899699m,Liang Bua Museum
1089056b,Caiazzo metro station
108908132m,Flower Garden Museum
108908693m,Chief Nana's palace Koko
108908759m,"Slave trade relics, Badagry"
108908800m,Museum
108909121m,Gately House Museum
108917504m,Owo Museum of Antiques
10891808m,Liang Yi Museum
108919984m,Matan Museum
108920199m,Lewu Hante Museum
108920816m,Mansinam Museum
108921059m,Noken Museum
108921168m,Alok Ikom Monoliths
1089339b,Tai Seng MRT station
108934500m,Fatmawati's house
108934685m,South Sumatra Textile Museum
108934715m,Songket Museum
108935087m,National Museums of Canada Corporation
108935152m,National Museum of Canada
1089361m,Castello dell'Imperatore
1089384b,Bras Basah MRT station
10893854m,Guanzhong Folk Art Museum
1089389b,MacPherson MRT station
1089392b,Esplanade MRT station
108940162m,Bio Farma Museum
108940190m,Nene Mallomo Museum
108940195m,Museum Palagan Bojongkokosan
108940199m,Museum Daerah Kabupaten Sambas
108940229m,Karaeng Pattingalloang Museum
108940237m,Museum Etnografi Sendawar
108940291m,Museum Subkoss Garuda Sriwijaya
108940316m,South River Upper Folk Museum
108940366m,Tanteri Museum of Ceramic Art
108940379m,Nekara Museum
108940407m,Bharugano Wuna Museum
108940519m,Museum R. Hamong Wardoyo
108940615m,Sriwijaya Museum
108940618m,Pong Tiku Museum
108940633m,Airlangga Museum
108940672m,Indo Tadung Museum
108940678m,The Mojokerto Wayang Puppet Museum
108940689m,Museum Asi Mbojo
108940811m,Museum Tanah dan Pertanian
108940812m,Museum Kepresidenan Republik Indonesia Balai Kirti
108940814m,Museum Nasional Sejarah Alam Indonesia
108941425m,Kuosikeskus
108945359m,Museum PDAM Intan Banjar
108945742m,Museum 1000 Moko
108945809m,Landorundun Museum
108945830m,Gilimanuk Museum of Ancient Man
10894621m,Heritage Exhibition of a Traditional Pawnshop Business
108946576m,Glagah Wangi Museum
1089469b,Stadium MRT station
1089474b,Marymount MRT station
108947552m,Vulkanologi Museum
108948578m,Batam Museum
108948691m,RA Kartini Museum
108948917m,Rahmah El Yunusiyah Museum
108950505m,Museum BPK RI
1089516b,Mária Valéria Bridge
108958446m,Museum of the House of Representative of Indonesia
10896041m,Van Goghhuis
10896465m,Ketagalan Culture Center
108980893b,building of the Savings Bank of Reims
10898933m,Tamsui Customs Officers' Residence
108991304m,Gedung Sate Museum
108994823m,Prince Cakrabuwana Museum
109001002m,National Education Museum
109001170m,Treasury Museum
109001438m,National Sport Museum
109001773m,Taruna Abdul Djalil Museum
109002247m,Stamps Museum
1090058b,Chutzenturm
10902050m,Beijing Quanyechang
10902206m,Beijing Anhui Guild Hall
10902252m,Haidian Museum
10902396m,Lao She Memorial Hall
10902406m,"Former residence of Mao Dun, Beijing"
10902453m,Beijing Telecommunications Museum
10902484m,Beilun Museum
10902928m,Beiping National Products Exhibition Hall
10902991m,Beitou Museum
10902996m,Beitou Hot Spring Museum
1090305b,Ürkmez Dam
1090380b,Adıgüzel Dam
109041375b,Philanthro-Lab
10904528m,MJ Gallery at Ponte 16
1090460b,Alaçatı Dam
10904903b,Qiansimen Jialing River Bridge
1090492b,Château Gaillard
1090504b,Balçova Dam
10905542b,Huanan Bridge
10905636m,Huaxia History Museum
1090621b,Güzelhisar Dam
10906649m,Nanjing Brocade Museum
10906924b,Nanjing Qixiashan Yangtze River Bridge
10906926b,Nanjing Yingtian Avenue Yangtze River Tunnel
1090753b,Château d'Eau
109076822m,Chief Ekpo Bassey's House
1090799m,Millennium Gate
10908262m,Nanhui Museum
10909529m,"Cultural Heritage Restoration and Preservation Center in Area 109, Tin Shui Wai"
109120707m,Nam Dinh Provincial Museum
109121937m,Ha Tinh Provincial Museum
10913550m,Antique Fan Museum
10913880m,Taichung English and Art Museum
1091447b,Roman amphitheatre of Syracuse
10915601m,Taiwan Coal Mine Museum
10916006m,Prehistoric Story Hall
109169134b,65 rue Saint-Didier
109180285m,"National Museum of Colonial History, Kogi state."
1091806b,Seferihisar Dam
1091833b,Kirazdere Dam
10918973m,Wujiang Museum
109194056m,Officina H
10921696m,Heyang Art Museum
1092170b,Vitrifrigo Arena
1092231b,Rama VIII Bridge
109237703m,Nagaland State Museum
10924079b,Jiaxing-Shaoxing Sea Bridge
10924131m,Kagi Shrine
10924158m,Chiayi Old Prison
10924774m,Sichuan Museum
10924b,Orvieto Cathedral
109252163m,Garioch Heritage Centre
109252220m,"Museum of Isolation, Internment and Integration in Bílá Voda"
109252446m,Kalakuta Museum Lagos
109255796m,Yemisi Shyllon Museum of Art
10925830m,Guyuan Museum
10926046m,National Maritime Museum
10926141m,The former site of the National Government's Special Commissioner's Office in Shandong
10926235m,International Friendship Museum
10926802m,National Human Rights Museum
10926809m,National Radio Museum
1092700b,Osaka-jō Hall
10927014m,National Taiwan Museum of Fine Arts
10927140m,National Science and Technology Museum
10927230m,Museum of Medical Humanities
109274649m,Nobel Brothers Museum of Technology
10927533b,Enkaku-ji
10927675m,Natural and Agrarian Museum
109279071m,Sepakat Segenap Museum
10928084b,St John's Cathedral
109286111b,"""Vieille forme"" dry dock"
109289165m,Binh Duong provincial museum
109291099m,The Ancient Nok Settlement
109291930m,Route 66 Historical Village
109293090b,Maison Leclaire
1092961b,Circus Circus Las Vegas
1092961h,Circus Circus Las Vegas
10930742m,Tacheng Red House
109308502m,Teuku Nyak Arief Museum
109308564m,Putroe Phang Museum
1093108b,Cirque d'hiver
109312226m,Batak Tomok Museum
1093147b,Stiff lighthouse
109315072b,Thouars Viaduct
109328669m,Kakegawa Stained Glass Museum
109329289b,Ancienne faculté de médecine
109334839m,Yayoi Yoshioka Memorial Hall
10934159m,Datong Urban Planning Exhibition Hall
10934165m,Datong Museum
1093454b,Pevchesky Bridge
1093472b,Furlo Pass
109354638m,Cenderawasih Museum
109354796m,Trikora Museum
109354820m,World War II Museum
1093592m,Carpenters' Hall
10936321b,Dagu Bridge
109374219m,BJ Habibie Museum
109374366m,Cual Ishadi Museum
109376439m,Borno State Museum
109378264m,Dong Thap provincial museum
1093786b,Indianapolis City–County Building
10937871m,Dabaotai Western Han Dynasty Mausoleum
109381489m,Pinawetengan Museum
109382770m,Cultuur Historisch Museum Oene
10938995m,Museum of Sacred Art and Crypt
1093909b,Gesuati
1093913b,Moshe Aviv Tower
10939337m,Ruins of Tianfei Palace
10939349m,Tianzijialiu Museum
1093944b,San Francisco City Hall
1093950b,City Hall
10939658m,Gallery of Western Bohemia
10939685m,Západočeské muzeum v Plzni
1093968b,City National Tower
10940059m,Tianjin Baocheng Museum
10940165m,Roberto Galian Railway Museum
10940186m,Tianjin Planning Exhibition Hall
10940222m,Tianjin Confucian Temple
10940241m,Former Residence of Liang Qichao in Tianjin
10940308m,Tianjin Science and Technology Museum
10940351m,Tianjin Modern Industry Museum
109404795m,"Indonesia Museum of Health And Medicine, IMERI"
109404866m,Art:1 New Museum
109405010m,Pelita Harapan University Museum
10942310m,Fengxian Museum
1094251b,City Circle Line
109425809m,Long An provincial museum
1094300b,Cité internationale universitaire de Paris
1094302m,Musée de la musique
1094307m,La Cité de l'Énergie
1094320b,Le Lignon
1094325m,City of Space
109433064m,Fingerprint Painting Museum
109433129m,Jember Letter Museum
109433480m,Paviliun 5 Museum
109433481m,Surabaya Museum
109433485m,Kasepuhan Palace Heritage Museum
109433486m,Anatomy Museum of Atma Jaya Catholic University of Indonesia
109433489m,Istana Gebang Museum
109433490m,Chinese Ethnic History Museum
109433492m,UNS Museum
109433493m,Purbalingga Puppet Museum and Artifacts
109433496m,Jember Tobacco Institute Museum
109433501m,Naladipa Museum
109433508m,Puro Mangkunegaran Museum
109433510m,Kanoman Palace Heritage Building Museum
109433511m,Indonesian Atsiri House Museum
109433516m,Mahameru Museum
109434542m,Scout Bike Museum Around the World
109434544m,Old Banten Archaeological Site Museum
109434545m,Archipelago Dance and Music Museum
109434577m,A. Sulaksono Aerospace Museum
109434806m,Puspa IPTEK Sundial
109437032m,Omah Munir Human Rights Museum
109437033m,Kesehatan Jiwa Museum
109437046m,Galuh University Museum
109437062m,Bio Farma Museum
109437094m,Usman Janatin Museum
109437095m,Samanhoedi Museum
109437457m,Dullah Museum
109437459m,Indonesian Museum of Health and Medicine
109437461m,Museum Kodam VI/MLW
109437462m,The History of Tarakan City Museum
109437463m,Potehi Gudo Jombang Museum
109437467m,Galuh Pakuan Museum
109437475m,Panji Museum
109437477m,Hortus Medicus Herb Museum
109437479m,Isdiman Palagan Museum Ambarawa
109437480m,Nissin Ungaran Museum
109437481m,Purbalingga Numismatic Museum
109437482m,Dr. Mohammad Saleh Museum
109437501m,Runa Museum and Design House
109437502m,Jamu Jago Museum
109438931m,Museum Pendet
1094407b,Ciutadella-Vila Olímpica
109441069m,Saint Mary Juanda Museum
109441121m,Bulungan Sultanate Museum
10944384m,Musée des forges de Brocas
109451446m,Hof Melijn
109451447h,Panquinkazerne
109451591m,Kempisch Museum
109454108m,21c Museum Hotel Kansas City
109460256m,Muzeum Tetín
109463850m,Gungu museum
109466295b,Passerelle des Grands Moulins
109466705m,Museums Archaeological Park Cipari
109466707m,Cipari Prehistorical Site Museum
109467009m,Bumi Alit Kaprabon Sukapura Museum
109467149m,Slawi School Museum
1094720b,Claiborne Pell Newport Bridge
109476806m,"Abubakar Tafawa Balewa Mausoleum, Bauchi"
10948094b,Coslada Central
1094822b,château de Tours
10948342b,Fuenlabrada Central
109483610m,Museum Gembira Loka Zoo
109483737m,Yogyakarta Maritime Museum
109483914m,Volcano Museum Mini Rest of My Treasure
109484326m,Halle du verre
1094877b,Jacques Cartier Bridge
10948997b,Leganés Central
109497025m,Maison James Norman Hall
10949821m,Xuanren Temple
1094986m,Palazzo Altemps
10950104m,Indoor Air Quality Information Center
1095075b,Clapham Common tube station
1095082b,Clapham North tube station
1095083b,Clapham South tube station
109510069m,Ogoh-Ogoh Museum
109518329m,15 Temmuz Demokrasi Museum
109518335m,Ahlat Museum
109518338m,Aidesim Ruins
109518345m,Akdamar Monument Museum
109518349m,Akhisar Tepe Tomb
109518352m,Akşehir Nasreddin Hoca Arkeoloji and Etnografya Museum
109518356m,Akşehir Taş Eserler Museum
109518358m,Alacahöyük Museum
109518363m,Alahan Monastery
109518367m,Alaşehir Ruins
109518391m,Andaval Ruins
109518397m,Antalya Etnografya Museum
109518405m,Antalya Mevlevihane Museum
109518420m,Apollon Smintheion
109518426m,Erzurum Arkeoloji Museum
109518435m,Aşık Veysel Museum
109518439m,Asklepion
109518455m,Aslantorunlar Etnografya Museum
109518458m,Astım Cave
109518462m,Malatya Atatürk Anı House and Etnografya Museum
109518466m,Erzurum Atatürk House Museum
109518471m,Tokat Atatürk House and Etnografya Museum
109518476m,Uşak Atatürk and Etnografya Museum
109518485m,Atatürk and Redif Museum
109518520m,Aydın Etnografya Museum
109518612m,Aziz Mercuries Underground City
109518626m,Batı Cephesi Karargahı Museum
109518660m,Bayburt Museum
109518730m,Beşkonaklar Etnografya Museum and Geleneksel Malatya House
109518765m,Birgi Çakırağa Mansion
109518777m,Bitlis Etnografya Museum
109518797m,Çavuşin
109518853m,Çevlik Ruins
109518861m,Çini Eserleri Museum
109518867m,Burdur Natural History Museum
109519139m,El Nazar Church
109519145m,Elbistan Şehir Museum
109520172m,Elmalı Museum
109520231m,Erzincan Museum
109520332m,Fethiye Museum
109520373m,Gümüşhane Museum
109520382m,Hacıbektaş Arkeoloji and Etnografya Museum
109520387m,Hacıbektaş Atatürk House Museum
109520884m,Hacıbektaş Museum
109520896m,Haleplibahçe Mozaik Museum
109520909m,Hasankeyf Museum
109520934m,Hasankeyf Ruins
109520970m,Hatay Şehir Museum
109521001m,Hazeranlar Mansion
109521029m,Hıdırlık Tabya Balkan Tarihi Museum
109521076m,Iasos Balık Pazarı Museum
109521096m,İstanbul Havalimanı Museum
109521115m,Kafkas Cephesi Harp Tarihi Museum
109521182m,Karacasu Etnografya Museum
109521205m,Keskin Sulu Cave
109521266m,Kütahya Museum
109521281m,Latifoğlu Mansion
109521289m,Likya Uygarlıkları Museum
109521301m,Marmaris Museum
109521316m,Milet Museum
109521318m,Milas Taş Eserler Museum
109521328m,Mucur Underground City
109521337m,Muratlı Atatürk House
109521347m,Necmi Asfuroğlu Arkeoloji Museum
109521366m,Pirin Ruins
109521388m,Sanayi Museum
109521396m,Şar Ruins
109521430m,Saraylar Open Area Museum
109521463m,Sebastopolis Ruins
109521476m,Silvan Atatürk House Museum
109521485m,Sobessos Ruins
109521521m,Sofraz Mausoleum
10952574m,Miyun Museum
109530729m,St. Jean Monument Museum
109530734m,St. Paul Well
109530739m,Taş and Ahşap Eserleri Museum
109530744m,Tatlarin Underground City
109530756m,Tire Museum
109530760m,"Tugay Anadolu Kültür, Sanat and Arkeoloji Museum"
109530766m,Tunceli Museum
109530773m,Erzurum Türk and Islam Eserleri Museum
109530810m,Edirne Türk-İslam Eserleri Museum
109530818m,Uluborlu Museum
109530966m,Ürgüp Museum
109531496m,Van Museum
109531664m,Adıyaman Yenikale
109531713m,Yeşilhisar Soğanlı Ruins
109531718m,Zonguldak Maden Museum
109538610m,Ikoma Furusato Museum
109551159b,Big Flat Road Bridge
10955383m,Widow Village Exhibition Hall
109563754m,Samparaja Museum
109564377m,Erchless Estate
109567779b,Cour Visconti
1095681b,Clark Bridge
109592349b,Soda Springs Road Bridge
109602519b,Sage Creek Bridge
109602615b,Porcupine Bridge
109602982b,Densmore Road Bridge
109605713b,Crow Creek Highway Bridge
109605819b,Cazadero Bridge
109610645b,Sunset Boulevard Bridge
109611158b,Nannidu Bridge
1096141h,Act Tower
109614577b,Xiaoguanshuiku Bridge
109621083m,Museum Jan Vaerten
109621766b,Blome Road Bridge
109621822m,Art Glass Museum Nový Bor
109621826b,Laozhuanghe River Bridge
109623478b,Charles Street Bridge
109628530m,Museu da Capitania de Ilhéus
109635179b,building of the Savings Bank of Albi
109643153b,Pont de La Millière
109643546b,Yuanze Bridge
109645432b,Jongim bridge
109654140m,Peranakannitat Museum
109654275b,Ponte do Arrabalde
109658974m,Tiroler Landesmuseum Ferdinandeum
109660658b,Adolfo Sarti Viaduct
109678021m,Museum of disABILITY History
109706381b,Kassenbergbrücke
109713801m,Svatojánské Muzeum
109719126m,Panacea Museum
109725904m,Jose B. Lingad Park and Museum
10972781m,Asian-African Conference Museum
109730611m,Athens Olympic Museum
109732801m,Museo della Carrozza
1097330m,Collegiate Church of San Gimignano
109733381m,Musée préfectoral de Koundara
109739307b,building of the Savings Bank of Chaumont
109740151m,Museum of the Restoration of the Republic
109740467m,"Land of Alonso, Cheese and Wine Museum"
109740866m,Casa Museo del Dulce
1097449b,one-north MRT station
1097460b,Holland Village MRT station
10975625m,Museum of Kashubian-Pomeranian Literature and Music
1097564m,Intézménytörténeti Múzeum
1097702b,Cortona Cathedral
109771052m,Rumcajsova ševcovna
109771319m,Herman Brood Museum & Experience
1097b,Berlin Hauptbahnhof
109803831b,Sirkeci (Marmaray) railway station
10981619m,Muzeum Kaszubskie im. Franciszka Tredera w Kartuzach
10981719m,The Museum of Ainaži Naval School
109836223m,Galerie minerálů
109839247m,Interactive Museum of Water Culture
109849402b,132-134 rue Réaumur
10985b,Turin–Lyon high-speed railway
10986546m,Museum Pos Indonesia
10989b,Mont d'Ambin base tunnel
1099066b,Théâtre Graslin
109914790m,St. Francis Motorcycle Museum
10991765b,Nelson Mandela Bridge
109927361b,Rathenow railway bridge
109928811b,pont des Bordeaux
109929238b,House & Atelier Horta
109936565b,Kleidonia bridge
109968132m,Open Air Museum of Black Oak
109973470m,Saint-Louis Photography Museum
1099824m,Janus Pannonius Museum
109996849m,Central Saint Martins Museum & Study Collection
110002692b,Petroleum Building
110002768b,Faust Street Bridge
110010967h,"SAii Lagoon Maldives, Curio Collection by Hilton"
110041692h,Central téléphonique Ségur
110045273m,"Hungarian native house ""Tajhaz"""
110045957m,Museum in Majdanpek
110045962m,Bakery Museum
110048003m,The Walter Museum defends Sarajevo
110052638b,TUM Jubiläumsbrücke
110053532m,Museum van de Vrouw
110058184m,Sokoto Museum
11006952m,Skaun bygdamuseum
110098604m,Sea's museum Aleixo Belov
1101213b,Kennedy Bridge
110128049m,Museum of the Ancient Book
110139333m,Galería Pedro Esquerré
110147122h,Hilton Garden Inn London Heathrow Terminals 2 and 3
11014933b,Barelang Bridge
110157292m,Ca' d'Oro
1101730b,Como Cathedral
1101808b,City Hall
110206079m,Byzantine Museum of Zakynthos
110207371m,Showgirl Magic Museum
110208166m,Jokoenea
110216001m,Museum of Victims of Communism
1102184b,Bassin de l'Arsenal
1102200b,Blois Cathedral
110222521m,Casa Marascalchi
1102250b,Sant'Agostino
110246725m,Mount Zion African Methodist Episcopal Church
110249102m,Haus Beda
1102499m,Jász Museum
110251555h,Ostrovní 15
110259707m,The Museum of St. Petersburg Art
110259746m,Diaghilev Museum of Contemporary Art at St. Petersburg State University
11026049m,Santa Catalina lighthouse
110264566m,Musée des sciences naturelles de Cotonou
110269997m,Danri Museum
110270536m,King Saud Museum of Arthropods
110272681m,Musée Don Francisco Felix De Souza
