s,name,cname
113369676m,London Scottish Regimental Museum,United Kingdom
113369677m,Magdalen College Museum,United Kingdom
113369678m,Mesolithic Museum,United Kingdom
113369679m,Planet Earth Museum,United Kingdom
113369680m,Royal Wiltshire Yeomanry Museum,United Kingdom
113369681m,Sally Lunns Historic Eating House & Museum,United Kingdom
113369682m,Selsey Lifeboat Museum,United Kingdom
113369683m,St Asaph Cathedral Museum,United Kingdom
113369684m,St John Medieval Museum And Coningsby Hospital,United Kingdom
113369685m,Thames River Police Museum,United Kingdom
113369686m,The Hop Farm Museum,United Kingdom
113369687m,Waterperry Gardens Rural Museum,United Kingdom
113369688m,Wellesbourne Wartime Museum,United Kingdom
113369689m,Fife and Forfar Yeomanry Museum,United Kingdom
113369690m,Rumble Museum,United Kingdom
113369691m,House of Hardy Fishing Tackle Museum,United Kingdom
113369692m,Berwick Gaol Museum,United Kingdom
113369693m,The Real Crime Museum,United Kingdom
113369694m,Chideock and Seatown Museum,United Kingdom
113369695m,Mathewson's Motor Museum,United Kingdom
113369696m,Museum of Amusements,United Kingdom
113369697m,Denby Pottery Visitor Centre Museum,United Kingdom
113369698m,Hopewell Colliery - Museum And Working Mine,United Kingdom
113369699m,Clayton Hall Living History Museum,United Kingdom
113369700m,Elham Valley Countryside Centre And Railway Museum,United Kingdom
113369701m,William Carey Museum,United Kingdom
113369702m,Haywain Farm Museum,United Kingdom
113369703m,David Brown Tractor Museum,United Kingdom
113369704m,Dukes Wood Oil Museum,United Kingdom
113369705m,Welsh Museum of Fire,United Kingdom
113369706m,The Last House Museum & Gift Shop,United Kingdom
113369707m,Warwickshire Museum - Market Hall Museum,United Kingdom
113369708m,"University Of St Andrews, Bell Pettigrew Museum",United Kingdom
113369709m,"University Of Aberdeen, Zoology Department Museum",United Kingdom
113369710m,Brechin Museum,United Kingdom
113369711m,John Knox House Museum,United Kingdom
113369712m,"Anatomy Museum, University Of Aberdeen",United Kingdom
113369713m,Folkestone Museum,United Kingdom
113369714m,Museum of The Royal Philatelic Society London,United Kingdom
113369715m,Bacup Natural History Society And Museum,United Kingdom
113369716m,"Museum of Dentistry, University Of Liverpool",United Kingdom
113369717m,Pitt Rivers Museum (Farnham),United Kingdom
113369718m,Glastonbury Lake Village Museum,United Kingdom
113369719m,Tynemouth Volunteer Life Brigade Watch House Museum,United Kingdom
113369721m,St Helens Museum And Art Gallery,United Kingdom
113369722m,The Epping Forest Museum,United Kingdom
113369723m,Westgate Museum,United Kingdom
113369724m,The Museum of Methodism and John Wesley's House,United Kingdom
113369725m,Hall Ith Wood Museum,United Kingdom
113369726m,Towneley Hall Art Gallery And Museum,United Kingdom
113369727m,Magic Circle Museum At The Centre For The Magic Arts,United Kingdom
113369728m,Corbridge Roman Site Museum,United Kingdom
113369729m,Michael Bruce Cottage Museum,United Kingdom
113369730m,Public Record Office Museum,United Kingdom
113369731m,St Andrews Cathedral Museum,United Kingdom
