s,cname,name,c_id
http://example.com/heritage/id/3572667w,Japan,Yoshimizu Shrine,http://example.com/country/id/17
http://example.com/heritage/id/38411w,Japan,Shiraito Falls,http://example.com/country/id/17
http://example.com/heritage/id/39231w,Japan,Mount Fuji,http://example.com/country/id/17
http://example.com/heritage/id/430626w,Japan,Ōura Church,http://example.com/country/id/17
http://example.com/heritage/id/432124w,Japan,Iriomote Island,http://example.com/country/id/17
http://example.com/heritage/id/460367w,Japan,Todaiji temple,http://example.com/country/id/17
http://example.com/heritage/id/473472w,Japan,Hahajima,http://example.com/country/id/17
http://example.com/heritage/id/48751867w,Japan,Dōgameyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/48815268w,Japan,Tagoyano Shell Mound,http://example.com/country/id/17
http://example.com/heritage/id/49641014w,Japan,Higashijima,http://example.com/country/id/17
http://example.com/heritage/id/49641137w,Japan,Hirajima,http://example.com/country/id/17
http://example.com/heritage/id/49646126w,Japan,Kitanoshima,http://example.com/country/id/17
http://example.com/heritage/id/49663210w,Japan,Nishijima,http://example.com/country/id/17
http://example.com/heritage/id/501638w,Japan,Shirakami-Sanchi,http://example.com/country/id/17
http://example.com/heritage/id/508866w,Japan,Nakijin Castle,http://example.com/country/id/17
http://example.com/heritage/id/5366860w,Japan,Hisaka Island,http://example.com/country/id/17
http://example.com/heritage/id/55524104w,Japan,Mozu-Furuichi Kofun Group: Mounded Tombs of Ancient Japan,http://example.com/country/id/17
http://example.com/heritage/id/55619850w,Japan,The Architectural Work of Le Corbusier,http://example.com/country/id/17
http://example.com/heritage/id/577372w,Japan,Lake Kawaguchi,http://example.com/country/id/17
http://example.com/heritage/id/583589w,Japan,Ujigami Shrine,http://example.com/country/id/17
http://example.com/heritage/id/5849431w,Japan,Daisen Kofun,http://example.com/country/id/17
http://example.com/heritage/id/587371w,Japan,Ryōan-ji,http://example.com/country/id/17
http://example.com/heritage/id/58889640w,Japan,Onga River Pumping Station,http://example.com/country/id/17
http://example.com/heritage/id/61094w,Japan,Byōdō-in,http://example.com/country/id/17
http://example.com/heritage/id/611345w,Japan,Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,http://example.com/country/id/17
http://example.com/heritage/id/63465w,Japan,Glover Garden,http://example.com/country/id/17
http://example.com/heritage/id/653180w,Japan,Fujisan Hongū Sengen Taisha,http://example.com/country/id/17
http://example.com/heritage/id/66087931w,Japan,Ogimachi Village,http://example.com/country/id/17
http://example.com/heritage/id/66087932w,Japan,Ogimachi Village 2,http://example.com/country/id/17
http://example.com/heritage/id/66087933w,Japan,Ainokura Village,http://example.com/country/id/17
http://example.com/heritage/id/66087934w,Japan,Suganuma Village,http://example.com/country/id/17
http://example.com/heritage/id/66088085w,Japan,Kasuga-Taisha and Kasugayama Primeval Forest,http://example.com/country/id/17
