s,country_id,name
21532003h,http://example.com/country/id/912,Radisson Blu Hotel in Bamako
21568919h,http://example.com/country/id/29,Tabacos de Filipinas building
21619228h,http://example.com/country/id/148,Sheraton Guiyang Hotel
220141h,http://example.com/country/id/183,Waldorf Astoria Berlin
22073967h,http://example.com/country/id/145,Hilton Bournemouth
22118627h,http://example.com/country/id/17,Global Gate
22583354h,http://example.com/country/id/213,Nový Pachtovský palác
2258969h,http://example.com/country/id/30,Eureka Inn
2297323h,http://example.com/country/id/30,Delano Las Vegas
22976715h,http://example.com/country/id/878,Hilton Dubai The Walk
22997753h,http://example.com/country/id/30,Bay Mills Resort & Casino
23265h,http://example.com/country/id/142,Hôtel des 3 Collèges
23305592h,http://example.com/country/id/30,"Kewadin Casino, Hotel and Convention Center"
2363048h,http://example.com/country/id/16,Place Viger
23640921h,http://example.com/country/id/408,Bowen River Hotel
23646439h,http://example.com/country/id/145,"100 Queen's Gate Hotel London, Curio Collection by Hilton"
23685988h,http://example.com/country/id/145,DoubleTree by Hilton Hotel Bristol North
23828028h,http://example.com/country/id/29,Edificio Gran Vía 4
23907594h,http://example.com/country/id/148,CAAC Tower
23907601h,http://example.com/country/id/30,The London NYC
2398831h,http://example.com/country/id/45,Teatro Eden
24054070h,http://example.com/country/id/145,Hilton Cambridge City Centre
240711h,http://example.com/country/id/30,Hotel Chelsea
2416198h,http://example.com/country/id/30,MGM Grand Detroit
24241038h,http://example.com/country/id/145,Cambridge Hotel
2461831h,http://example.com/country/id/30,Las Vegas Plaza
24693404h,http://example.com/country/id/30,Bangor House
24708167h,http://example.com/country/id/213,"Dominican monastery in Malá Strana, Prague"
24971211h,http://example.com/country/id/30,El Reno Hotel
25007h,http://example.com/country/id/30,Bellagio Hotel & Casino
25204442h,http://example.com/country/id/39,Hilton Zurich Airport
2523683h,http://example.com/country/id/142,Château d'Artigny
25247913h,http://example.com/country/id/30,Commercial Hotel
2567200h,http://example.com/country/id/30,The Whittier
2579998h,http://example.com/country/id/45,Castle of Óbidos
26237391h,http://example.com/country/id/17,Conrad Tokyo
26242212h,http://example.com/country/id/145,Hilton Garden Inn Sunderland
26306764h,http://example.com/country/id/145,The Mytton and Mermaid Hotel
2631856h,http://example.com/country/id/30,520 West 41st Street
26398842h,http://example.com/country/id/145,The Old Hall Hotel
264203h,http://example.com/country/id/30,Vegas World
26463120h,http://example.com/country/id/145,13 Market End
2648096h,http://example.com/country/id/30,W San Francisco
26483035h,http://example.com/country/id/145,"14 and 15, Warwick Road"
264858h,http://example.com/country/id/30,M Resort
26537718h,http://example.com/country/id/145,Dove Nest
26546731h,http://example.com/country/id/145,Mosborough Hall
26609450h,http://example.com/country/id/145,Crosby Lodge
26617946h,http://example.com/country/id/145,Kenwith Castle
26684094h,http://example.com/country/id/145,"12 and 13, Warwick Road"
26685058h,http://example.com/country/id/145,15 Market End
26700322h,http://example.com/country/id/16,Hotel Omni Mont-Royal
26707727h,http://example.com/country/id/29,Hotel Santo Mauro
26723836h,http://example.com/country/id/33,De Gamlas Hem
26734729h,http://example.com/country/id/43,Conrad Istanbul Bosphorus
26878946h,http://example.com/country/id/869,Hilton Sukhumvit Bangkok
26902701h,http://example.com/country/id/33,Hilton Helsinki Kalastajatorppa
26960663h,http://example.com/country/id/145,Hampton by Hilton Bournemouth
27456363h,http://example.com/country/id/668,DoubleTree by Hilton Gurugram Baani Square
2748565h,http://example.com/country/id/145,Claridge's
27825013h,http://example.com/country/id/183,Hilton Frankfurt City Centre
27826630h,http://example.com/country/id/408,DoubleTree by Hilton Hotel Cairns
278380h,http://example.com/country/id/30,The Drew Las Vegas
27962079h,http://example.com/country/id/38,Ausonia Palace Hotel
27981667h,http://example.com/country/id/878,Hilton Garden Inn Dubai Mall of the Emirates
280339h,http://example.com/country/id/30,Tropicana Las Vegas
28053246h,http://example.com/country/id/664,Hilton Auckland
280910h,http://example.com/country/id/30,Vdara
28184307h,http://example.com/country/id/408,Royal Mail Hotel
28184310h,http://example.com/country/id/408,Noccundra Hotel
28192892h,http://example.com/country/id/148,Waldorf Astoria Beijing
28214174h,http://example.com/country/id/145,Hampton by Hilton Newcastle
2837946h,http://example.com/country/id/30,Allerton Hotel
28456180h,http://example.com/country/id/851,Makkah Millennium Hotel
28609672h,http://example.com/country/id/145,DoubleTree by Hilton Hotel Coventry
28662736h,http://example.com/country/id/29,"Gran Vía 22, Madrid"
28675210h,http://example.com/country/id/36,Castle mill in Toruń
28675745h,http://example.com/country/id/36,15/17 Mostowa Street in Toruń
28680070h,http://example.com/country/id/45,Sanatório das Penhas da Saúde
28746397h,http://example.com/country/id/29,Hotel NH Paseo del Prado
28755991h,http://example.com/country/id/29,Hotel Catalonia Atocha
28756542h,http://example.com/country/id/29,Palacio Oriol
28756862h,http://example.com/country/id/29,Hotel Catalonia Gran Vía
28757120h,http://example.com/country/id/29,Gran Vía 18
28757959h,http://example.com/country/id/29,Hotel Senator Gran Vía
28757977h,http://example.com/country/id/29,Hotel Tryp Cibeles
28769024h,http://example.com/country/id/29,Hotel Gran Vía
28777988h,http://example.com/country/id/145,DoubleTree by Hilton Hotel Aberdeen Treetops
28844857h,http://example.com/country/id/29,El Palace Hotel Barcelona
2899830h,http://example.com/country/id/55,Hilton The Hague
29000794h,http://example.com/country/id/408,DoubleTree by Hilton Hotel Darwin
29007102h,http://example.com/country/id/29,Papelera Española building
2902501h,http://example.com/country/id/801,Palatin Hotel Tel Aviv
29053655h,http://example.com/country/id/142,Hilton Paris Charles de Gaulle Airport
29053691h,http://example.com/country/id/145,Hilton Coylumbridge
2905596h,http://example.com/country/id/30,The Blackstone Hotel
2908788h,http://example.com/country/id/801,Leonardo City Tower Hotel
2912992h,http://example.com/country/id/30,The Harmon
2928530h,http://example.com/country/id/30,Cadillac Hotel
2935180h,http://example.com/country/id/30,Camlin Hotel
29415039h,http://example.com/country/id/29,Hotel Alay
2961297h,http://example.com/country/id/142,Chartreuse du Reposoir
2971063h,http://example.com/country/id/191,Taagepera Castle
29909111h,http://example.com/country/id/29,Hotel Alfonso X El Sabio
2992084h,http://example.com/country/id/142,Hilton Paris Opera
29948012h,http://example.com/country/id/145,DoubleTree by Hilton Hotel Edinburgh Airport
29981099h,http://example.com/country/id/252,Conrad Bali
30014678h,http://example.com/country/id/43,DoubleTree by Hilton Hotel Istanbul - Old Town
30021076h,http://example.com/country/id/183,Hilton Cologne
30021879h,http://example.com/country/id/145,DoubleTree by Hilton London Heathrow Airport
30035305h,http://example.com/country/id/159,Hilton Saint Petersburg ExpoForum
30047899h,http://example.com/country/id/183,Hilton Garden Inn Stuttgart NeckarPark
30090585h,http://example.com/country/id/851,Conrad Makkah
30097763h,http://example.com/country/id/145,"The Westminster London, Curio Collection by Hilton"
30097821h,http://example.com/country/id/148,Conrad Beijing
30139243h,http://example.com/country/id/213,Hilton Prague Old Town
30140581h,http://example.com/country/id/218,DoubleTree by Hilton Hotel Oradea
30147522h,http://example.com/country/id/878,Hilton Dubai Jumeirah
30174421h,http://example.com/country/id/854,Hilton Colombo Residences
30242708h,http://example.com/country/id/43,DoubleTree by Hilton Hotel Avanos - Cappadocia
30251296h,http://example.com/country/id/38,Hilton Garden Inn Matera
30301927h,http://example.com/country/id/145,Hampton by Hilton Bristol City Centre
30302746h,http://example.com/country/id/31,Hilton Brussels City
30306779h,http://example.com/country/id/408,Hilton Adelaide
30307361h,http://example.com/country/id/79,Hilton Hurghada Plaza
30308807h,http://example.com/country/id/79,Hilton Alexandria King's Ranch
30337433h,http://example.com/country/id/159,Hilton Garden Inn Volgograd
30346525h,http://example.com/country/id/145,Hilton Edinburgh Grosvenor
30347445h,http://example.com/country/id/38,DoubleTree by Hilton Hotel Milan
3037053h,http://example.com/country/id/41,Hilton Athens
30402016h,http://example.com/country/id/145,Hilton Belfast
30407987h,http://example.com/country/id/36,DoubleTree by Hilton Hotel Wroclaw
30409284h,http://example.com/country/id/40,Hilton Vienna Park
30438998h,http://example.com/country/id/183,Hilton Dusseldorf
30504052h,http://example.com/country/id/145,DoubleTree by Hilton Hotel London - Marble Arch
30504754h,http://example.com/country/id/145,Hilton Nottingham
30522857h,http://example.com/country/id/31,Hilton Brussels Grand Place
306000h,http://example.com/country/id/794,Abbasi Hotel
30644484h,http://example.com/country/id/30,Hotel Manger
30736107h,http://example.com/country/id/224,Hilton Imperial Dubrovnik
30927563h,http://example.com/country/id/17,Koriyama View Hotel Annex
31277862h,http://example.com/country/id/191,Hilton Tallinn Park
3142395h,http://example.com/country/id/142,Hyatt Regency Paris Etoile
3153055h,http://example.com/country/id/30,InterContinental San Francisco
31827676h,http://example.com/country/id/213,U zlatého anděla
31827738h,http://example.com/country/id/213,U Medvídků
3185653h,http://example.com/country/id/30,Joseph Smith Memorial Building
31861463h,http://example.com/country/id/213,"Krajinská 41, Zátkův dům"
3192583h,http://example.com/country/id/17,Kanayama Minami Building
3278286h,http://example.com/country/id/30,Main Street Station Hotel and Casino and Brewery
3281025h,http://example.com/country/id/17,APA Hotel & Resort Tokyo Bay Makuhari
32947262h,http://example.com/country/id/668,Hilton Garden Inn New Delhi/Saket
33035435h,http://example.com/country/id/43,DoubleTree by Hilton Hotel Istanbul - Moda
33101471h,http://example.com/country/id/218,DoubleTree by Hilton Hotel Cluj - City Plaza
33189243h,http://example.com/country/id/183,Feuerschiff
33229354h,http://example.com/country/id/145,Hilton London Croydon
33382454h,http://example.com/country/id/408,DoubleTree by Hilton Hotel Melbourne - Flinders Street
3356472h,http://example.com/country/id/30,The Orleans
3359202h,http://example.com/country/id/43,Wyndham Grand İzmir Özdilek
3389734h,http://example.com/country/id/16,Place Bonaventure
3414568h,http://example.com/country/id/45,Quinta das Lágrimas
34204337h,http://example.com/country/id/878,Waldorf Astoria Dubai Palm Jumeirah
3471438h,http://example.com/country/id/30,San Francisco Marriott Marquis
3482309h,http://example.com/country/id/17,Shiodome Media Tower
3498798h,http://example.com/country/id/30,Hilton San Francisco Union Square
3533060h,http://example.com/country/id/142,Tour Duo
3545225h,http://example.com/country/id/30,"Sam's Town Hotel and Gambling Hall, Las Vegas"
3699364h,http://example.com/country/id/30,Culver Hotel
37857517h,http://example.com/country/id/145,Hampton by Hilton Birmingham Jewellery Quarter
37858337h,http://example.com/country/id/145,Hampton by Hilton Glasgow Central
37858682h,http://example.com/country/id/145,DoubleTree by Hilton Hotel Leeds City Centre
38251391h,http://example.com/country/id/30,3 V Tourist Court
38251968h,http://example.com/country/id/30,Bonneville Hotel
40037779h,http://example.com/country/id/34,Dämman
4040675h,http://example.com/country/id/213,Hilton Prague
41069183h,http://example.com/country/id/55,Hilton Amsterdam Airport Schiphol
41300192h,http://example.com/country/id/79,Hilton Pyramids Golf
42341625h,http://example.com/country/id/145,DoubleTree by Hilton Hotel London - Hyde Park
4260261h,http://example.com/country/id/30,Price Tower
4261094h,http://example.com/country/id/30,Downtown Grand Hotel & Casino
4261374h,http://example.com/country/id/30,Suncoast Hotel and Casino
4261384h,http://example.com/country/id/30,Las Vegas Club
4261513h,http://example.com/country/id/30,Grand Central Hotel
4272608h,http://example.com/country/id/30,Fairmont San Francisco
4272804h,http://example.com/country/id/30,Breakers Hotel
42748124h,http://example.com/country/id/794,Shah Abbasi Caravanserai of Abuzeydabad
42867978h,http://example.com/country/id/794,Tehrani House (Yazd)
42874514h,http://example.com/country/id/794,Golshan House (Yazd)
43031921h,http://example.com/country/id/218,Corona Hotel in Baia Sprie
43371249h,http://example.com/country/id/30,Brooks Hotel
4385582h,http://example.com/country/id/30,Page-Walker Hotel
44406603h,http://example.com/country/id/30,Hampshire House
4448816h,http://example.com/country/id/17,Tsukuba Center Building
