country_name,name,c_id,s
Algeria,palm grove Beni Isguen,http://example.com/country/id/262,65643543w
Algeria,palm grove Bounoura,http://example.com/country/id/262,65643542w
Algeria,palm grove El Atteuf,http://example.com/country/id/262,65643540w
Andorra,Casa d'Areny-Plandolit,http://example.com/country/id/228,2912621m
Andorra,Envalira Tunnel,http://example.com/country/id/228,http://example.com/building/id/3379232b
Andorra,Farga Rossell,http://example.com/country/id/228,2912615m
Andorra,Madriu-Perafita-Claror Valley,http://example.com/country/id/228,332800w
Andorra,Motorcycle Museum,http://example.com/country/id/228,20968895m
Andorra,Museu Postal,http://example.com/country/id/228,2912535m
Andorra,Pont d'Anyós,http://example.com/country/id/228,http://example.com/building/id/7228014b
Andorra,Pont d'Engordany,http://example.com/country/id/228,http://example.com/building/id/7228015b
Andorra,Pont de Paris,http://example.com/country/id/228,http://example.com/building/id/115748397b
Andorra,Pont de la Margineda,http://example.com/country/id/228,http://example.com/building/id/3137862b
Andorra,Pont de la Tosca,http://example.com/country/id/228,http://example.com/building/id/7228021b
Andorra,Pont dels Escalls,http://example.com/country/id/228,http://example.com/building/id/7228022b
Angola,M'banza-Kongo,http://example.com/country/id/916,500189w
Angola,Museu Nacional de Antropologia,http://example.com/country/id/916,10333588m
Angola,Museum of Dundo,http://example.com/country/id/916,60580210m
Angola,National Archaeology Museum,http://example.com/country/id/916,84737696m
Angola,National Bank of Angola,http://example.com/country/id/916,http://example.com/building/id/31211b
Angola,National Museum of Slavery,http://example.com/country/id/916,868140m
Antigua and Barbuda,Museum of Antigua and Barbuda,http://example.com/country/id/781,2912720m
Antigua and Barbuda,Nelson's Dockyard,http://example.com/country/id/781,1435206w
Argentina,"""Dr. Julio Marc"" Provincial Historical Museum",http://example.com/country/id/414,6033415m
Argentina,1978 FIFA World Cup,http://example.com/country/id/414,http://example.com/building/id/46943b
Argentina,AR-ACHC-03/CS-2011,http://example.com/country/id/414,65531350w
Argentina,AR-ANC-13/CS-2011,http://example.com/country/id/414,65531396w
Argentina,AR-CAC-08/CS-2011,http://example.com/country/id/414,65531383w
Argentina,AR-CYSA-17/CS-2011,http://example.com/country/id/414,65531404w
Argentina,AR-LCLP-10/CS-2011,http://example.com/country/id/414,65531391w
Argentina,AR-LLL-16/CS-2011,http://example.com/country/id/414,65531400w
Argentina,AR-LLU-07/CS-2011,http://example.com/country/id/414,65531376w
Argentina,AR-PA-09/CS-2011,http://example.com/country/id/414,65531387w
Argentina,AR-PIN-20/CS-2011,http://example.com/country/id/414,65531412w
Argentina,AR-PPG-05/CS-2011,http://example.com/country/id/414,65531370w
Argentina,AR-QGE-01/C-2011,http://example.com/country/id/414,65531239w
Argentina,AR-RAN-18/CS-2011,http://example.com/country/id/414,65531407w
Argentina,AR-SRT-02/CS-2011,http://example.com/country/id/414,65531296w
Argentina,Acatushun museum,http://example.com/country/id/414,6033095m
Argentina,Acatushún Museum of Austral Marine Birds and Mammals,http://example.com/country/id/414,84532879m
Argentina,Acnin Museum,http://example.com/country/id/414,84526732m
Argentina,Acoyte,http://example.com/country/id/414,http://example.com/building/id/3351989b
Argentina,Aeronautical Museum Baradero Vicente 'Tito' Churín,http://example.com/country/id/414,84507102m
Argentina,Agricultural Machine Museum,http://example.com/country/id/414,84531599m
Argentina,Agüero,http://example.com/country/id/414,http://example.com/building/id/3296607b
Argentina,Akawahia Yoirka School Museum,http://example.com/country/id/414,84531967m
Argentina,Alas Building,http://example.com/country/id/414,http://example.com/building/id/946458b
Argentina,Alberti,http://example.com/country/id/414,http://example.com/building/id/3352291b
Argentina,Alcorta Communal Museum,http://example.com/country/id/414,84530585m
Argentina,Aldo Pato Hernando Museum,http://example.com/country/id/414,84526321m
Argentina,Alejandrino Alfonso Railway Museum,http://example.com/country/id/414,84514618m
Argentina,Alexandra Regional Museum,http://example.com/country/id/414,84526998m
Argentina,Alfredo Ramón Almada Historical Museum,http://example.com/country/id/414,84523539m
Argentina,Almafuerte Civic Museum,http://example.com/country/id/414,84506097m
Argentina,Andrés A. Roverano Historical Museum and Municipal Archives,http://example.com/country/id/414,84530110m
Argentina,Andrés Guacurarí Historical-Archaeological Museum,http://example.com/country/id/414,21633759m
Argentina,Anibal Bergallo Museum,http://example.com/country/id/414,84530187m
Argentina,Anibal Cambas Regional Museum,http://example.com/country/id/414,21631260m
Argentina,Ann Frank museum,http://example.com/country/id/414,65484950m
Argentina,"Antapu, Ethnic and Archaeological Museum of San Antonio de los Cobres",http://example.com/country/id/414,84523259m
Argentina,Archaeological Museum Adam Quiroga,http://example.com/country/id/414,52151288m
Argentina,Archaeological Museum of Tinogasta Tulio Robaud,http://example.com/country/id/414,84508620m
Argentina,Archaeological Research Institute and Prof. Mariano Gambier Museum,http://example.com/country/id/414,84510547m
Argentina,Archdiocesan Museum of Sacred Art,http://example.com/country/id/414,84534271m
Argentina,Archeological Museum,http://example.com/country/id/414,84513647m
Argentina,Archive and Historical Museum of the Bank of the province of Buenos Aires Dr. Arturo Jauretche,http://example.com/country/id/414,65483176m
Argentina,Arequito Cultural Center and Railway Museum,http://example.com/country/id/414,84530533m
Argentina,Argentine Diplomacy Museum,http://example.com/country/id/414,112066857m
Argentina,Argentine Film Museum,http://example.com/country/id/414,6033246m
Argentina,Argentine Patent Museum,http://example.com/country/id/414,84519525m
Argentina,Argentine Penitentiary Museum Antonio Ballvé,http://example.com/country/id/414,6033667m
Argentina,Argentine Puppet Museum,http://example.com/country/id/414,16609671m
Argentina,Argentine Toy Museum,http://example.com/country/id/414,112066425m
Argentina,Arminio Weiss Pre-Columbian Art Collection,http://example.com/country/id/414,84531485m
Argentina,Arroyo Seco Municipal Public Museum,http://example.com/country/id/414,84526839m
Argentina,Arruabarrena Palace Municipal Regional Museum,http://example.com/country/id/414,84523334m
Argentina,"Art Collection ""Amalia Lacroze de Fortabat""",http://example.com/country/id/414,63907036m
Argentina,Arteaga Regional Museum,http://example.com/country/id/414,84530695m
Argentina,"Artisan Museum ""René James Sotelo""",http://example.com/country/id/414,111972656m
Argentina,Astes Private Museum,http://example.com/country/id/414,84531943m
Argentina,Aurelio Genovese Museum,http://example.com/country/id/414,84527020m
Argentina,"Automobile Museum and General Branches ""Rau Collection""",http://example.com/country/id/414,61998851m
Argentina,Bariloche Paleontological Association,http://example.com/country/id/414,16533398m
Argentina,Basilio María Donato Municipal Historical Archive and Museum,http://example.com/country/id/414,84531562m
Argentina,Battle of Mbororé Museum,http://example.com/country/id/414,84531732m
Argentina,Benjamin Victorica Municipal Museum,http://example.com/country/id/414,84508926m
Argentina,Berabevú Historical Museum,http://example.com/country/id/414,84530622m
Argentina,Bernardino Rivadavia Natural Sciences Museum,http://example.com/country/id/414,1633517m
Argentina,Bicentennial Cultural  Center,http://example.com/country/id/414,16490618m
Argentina,Blanca Angélica Gandini Neighborhood of Flores History Museum,http://example.com/country/id/414,65483599m
Argentina,Boedo,http://example.com/country/id/414,http://example.com/building/id/3296722b
Argentina,Bolívar,http://example.com/country/id/414,http://example.com/building/id/586432b
Argentina,"Boxer's Museum ""Casa de José María Gatica""",http://example.com/country/id/414,111972284m
Argentina,Buenos Aires Cabildo,http://example.com/country/id/414,1024829m
Argentina,Buenos Aires Historic Tramway,http://example.com/country/id/414,6151576m
Argentina,Buenos Aires Holocaust Museum,http://example.com/country/id/414,6034447m
Argentina,Buenos Aires Metropolitan Cathedral,http://example.com/country/id/414,http://example.com/building/id/967929b
Argentina,Buenos Aires Museo,http://example.com/country/id/414,2835568m
Argentina,Buenos Aires Museum of Modern Art,http://example.com/country/id/414,1134582m
Argentina,Bulnes,http://example.com/country/id/414,http://example.com/building/id/3296614b
Argentina,Burnt Corral Comprehensive Museum,http://example.com/country/id/414,84507826m
Argentina,Cable Carril Dr. Santiago Bazán Museum,http://example.com/country/id/414,84516046m
Argentina,Cacique Valentin Sayhueque Regional Museum,http://example.com/country/id/414,84509868m
Argentina,Calafate Interpretation Center,http://example.com/country/id/414,111956653m
Argentina,Caravati House. City Museum,http://example.com/country/id/414,84508500m
