cname,s,country_id,name
Argentina,111992309m,http://example.com/country/id/414,Quetre Huitru Lauquen Museum
Argentina,112038651m,http://example.com/country/id/414,"Historical, Geographical and Natural Museum of Gobernador Virasoro"
Argentina,112038929m,http://example.com/country/id/414,Sacred Museum of San Miguel
Argentina,112039056m,http://example.com/country/id/414,Casa Molinas - museum of historical and archaeological site
Argentina,112061441m,http://example.com/country/id/414,National Scout Museum of Argentina
Argentina,112066114m,http://example.com/country/id/414,Holocaust Memorial Foundation Museum
Argentina,112066243m,http://example.com/country/id/414,Space of Social Security and Argentine Labor Museum
Argentina,112066425m,http://example.com/country/id/414,Argentine Toy Museum
Argentina,112066857m,http://example.com/country/id/414,Argentine Diplomacy Museum
Argentina,112998664m,http://example.com/country/id/414,"Museo de Las y Los Trabajadores ""Evita"""
Argentina,1132178b,http://example.com/country/id/414,Libertador General San Martín Bridge
Argentina,1132660b,http://example.com/country/id/414,Line H
Argentina,1134247b,http://example.com/country/id/414,Le Parc tower
Argentina,1134582m,http://example.com/country/id/414,Buenos Aires Museum of Modern Art
Argentina,1136338m,http://example.com/country/id/414,National Museum of Decorative Arts
Argentina,1138028b,http://example.com/country/id/414,Puente Transbordador
Argentina,1157050b,http://example.com/country/id/414,Line C
Argentina,1157052b,http://example.com/country/id/414,Line D
Argentina,1157061b,http://example.com/country/id/414,Line B
Argentina,1209679b,http://example.com/country/id/414,Line A
Argentina,12183760m,http://example.com/country/id/414,Municipal Historical Regional Monument and Museum El Porvenir
Argentina,1287364b,http://example.com/country/id/414,El Chocón Dam
Argentina,1290362m,http://example.com/country/id/414,Museo Mitre
Argentina,1324895m,http://example.com/country/id/414,Museo Carmen Funes
Argentina,1403361b,http://example.com/country/id/414,Zárate-Brazo Largo Bridge
Argentina,141493b,http://example.com/country/id/414,Marambio Station
Argentina,1432818b,http://example.com/country/id/414,Yacyretá Dam
Argentina,14940369m,http://example.com/country/id/414,Municipal Art Museum of La Plata
Argentina,1571142m,http://example.com/country/id/414,Palais de Glace
Argentina,1633517m,http://example.com/country/id/414,Bernardino Rivadavia Natural Sciences Museum
Argentina,16490618m,http://example.com/country/id/414,Bicentennial Cultural  Center
Argentina,16533398m,http://example.com/country/id/414,Bariloche Paleontological Association
Argentina,1653672m,http://example.com/country/id/414,Museo del Fin del Mundo
Argentina,16570011m,http://example.com/country/id/414,Fundación Proa
Argentina,16609671m,http://example.com/country/id/414,Argentine Puppet Museum
Argentina,16609857m,http://example.com/country/id/414,Municipal Museum of the City of Rio Grande Virginia Choquintel
Argentina,16609877m,http://example.com/country/id/414,Museo de Anatomía Humana Normal
Argentina,16819809m,http://example.com/country/id/414,Museum of Arts and Crafts Enrique Estrada Bello
Argentina,17197966m,http://example.com/country/id/414,Museum of Architecture and Design
Argentina,17623094m,http://example.com/country/id/414,Museo de Astronomía y Geofísica
Argentina,1798541m,http://example.com/country/id/414,La Plata Museum
Argentina,1808336m,http://example.com/country/id/414,Museum of Latin American Art of Buenos Aires
Argentina,18416994m,http://example.com/country/id/414,Museo de Bellas Artes
Argentina,18416998m,http://example.com/country/id/414,"Regional Museum of Anthropology ""Juan Alfredo Martinet"""
Argentina,1853634b,http://example.com/country/id/414,General Artigas Bridge
Argentina,18704330m,http://example.com/country/id/414,Di Lullo Historical Museum
Argentina,1954268m,http://example.com/country/id/414,Rocsen Multifaceted Museum
Argentina,20987308m,http://example.com/country/id/414,Museo Provincial San Ignacio de Loyola
Argentina,21031040m,http://example.com/country/id/414,Integral Museum of the Laguna Blanca Biosphere Reserve
Argentina,21114973m,http://example.com/country/id/414,Ricardo Rojas' House Museum - Research Institute
Argentina,21328724m,http://example.com/country/id/414,"Numismatics Museum ""Héctor Carlos Janson"""
Argentina,21573456m,http://example.com/country/id/414,José Hernández Folk Art Museum
Argentina,21573758m,http://example.com/country/id/414,Museo Regional Americanista
Argentina,21623169m,http://example.com/country/id/414,Municipal Museum of Fine Arts Lucas Braulio Areco
Argentina,21625007m,http://example.com/country/id/414,Misiones Police Historical Museum
Argentina,21631260m,http://example.com/country/id/414,Anibal Cambas Regional Museum
Argentina,21633759m,http://example.com/country/id/414,Andrés Guacurarí Historical-Archaeological Museum
Argentina,21634277m,http://example.com/country/id/414,Museum of Natural Sciences and History Antonio Ruiz de Montoya
Argentina,21634295m,http://example.com/country/id/414,Horacio Quiroga Municipal Museum
Argentina,21828764b,http://example.com/country/id/414,Torre de los Ingleses
Argentina,2336867b,http://example.com/country/id/414,Puente de la Mujer
Argentina,2385650b,http://example.com/country/id/414,Rosario-Victoria Bridge
Argentina,2464263b,http://example.com/country/id/414,Túnel del Cristo Redentor
Argentina,2679759b,http://example.com/country/id/414,Tancredo Neves Bridge
