s,hotel_name,country_name
24241038h,Cambridge Hotel,United Kingdom
2461831h,Las Vegas Plaza,United States of America
24693404h,Bangor House,United States of America
24708167h,"Dominican monastery in Malá Strana, Prague",Czech Republic
24971211h,El Reno Hotel,United States of America
25007h,Bellagio Hotel & Casino,United States of America
25204442h,Hilton Zurich Airport,Switzerland
2523683h,Château d'Artigny,France
25247913h,Commercial Hotel,United States of America
2567200h,The Whittier,United States of America
2579998h,Castle of Óbidos,Portugal
26237391h,Conrad Tokyo,Japan
26242212h,Hilton Garden Inn Sunderland,United Kingdom
26306764h,The Mytton and Mermaid Hotel,United Kingdom
2631856h,520 West 41st Street,United States of America
26398842h,The Old Hall Hotel,United Kingdom
264203h,Vegas World,United States of America
26463120h,13 Market End,United Kingdom
2648096h,W San Francisco,United States of America
26483035h,"14 and 15, Warwick Road",United Kingdom
264858h,M Resort,United States of America
26537718h,Dove Nest,United Kingdom
26546731h,Mosborough Hall,United Kingdom
26609450h,Crosby Lodge,United Kingdom
26617946h,Kenwith Castle,United Kingdom
26684094h,"12 and 13, Warwick Road",United Kingdom
26685058h,15 Market End,United Kingdom
26700322h,Hotel Omni Mont-Royal,Canada
26707727h,Hotel Santo Mauro,Spain
26723836h,De Gamlas Hem,Finland
26734729h,Conrad Istanbul Bosphorus,Turkey
26878946h,Hilton Sukhumvit Bangkok,Thailand
26902701h,Hilton Helsinki Kalastajatorppa,Finland
26960663h,Hampton by Hilton Bournemouth,United Kingdom
27456363h,DoubleTree by Hilton Gurugram Baani Square,India
2748565h,Claridge's,United Kingdom
27825013h,Hilton Frankfurt City Centre,Germany
27826630h,DoubleTree by Hilton Hotel Cairns,Australia
278380h,The Drew Las Vegas,United States of America
27962079h,Ausonia Palace Hotel,Italy
27981667h,Hilton Garden Inn Dubai Mall of the Emirates,United Arab Emirates
280339h,Tropicana Las Vegas,United States of America
28053246h,Hilton Auckland,New Zealand
280910h,Vdara,United States of America
28184307h,Royal Mail Hotel,Australia
28184310h,Noccundra Hotel,Australia
28192892h,Waldorf Astoria Beijing,People's Republic of China
28214174h,Hampton by Hilton Newcastle,United Kingdom
2837946h,Allerton Hotel,United States of America
28456180h,Makkah Millennium Hotel,Saudi Arabia
28609672h,DoubleTree by Hilton Hotel Coventry,United Kingdom
28662736h,"Gran Vía 22, Madrid",Spain
28675210h,Castle mill in Toruń,Poland
28675745h,15/17 Mostowa Street in Toruń,Poland
28680070h,Sanatório das Penhas da Saúde,Portugal
28746397h,Hotel NH Paseo del Prado,Spain
28755991h,Hotel Catalonia Atocha,Spain
28756542h,Palacio Oriol,Spain
28756862h,Hotel Catalonia Gran Vía,Spain
28757120h,Gran Vía 18,Spain
28757959h,Hotel Senator Gran Vía,Spain
28757977h,Hotel Tryp Cibeles,Spain
28769024h,Hotel Gran Vía,Spain
28777988h,DoubleTree by Hilton Hotel Aberdeen Treetops,United Kingdom
28844857h,El Palace Hotel Barcelona,Spain
2899830h,Hilton The Hague,Netherlands
29000794h,DoubleTree by Hilton Hotel Darwin,Australia
29007102h,Papelera Española building,Spain
2902501h,Palatin Hotel Tel Aviv,Israel
29053655h,Hilton Paris Charles de Gaulle Airport,France
29053691h,Hilton Coylumbridge,United Kingdom
2905596h,The Blackstone Hotel,United States of America
2908788h,Leonardo City Tower Hotel,Israel
2912992h,The Harmon,United States of America
2928530h,Cadillac Hotel,United States of America
2935180h,Camlin Hotel,United States of America
29415039h,Hotel Alay,Spain
2961297h,Chartreuse du Reposoir,France
2971063h,Taagepera Castle,Estonia
29909111h,Hotel Alfonso X El Sabio,Spain
2992084h,Hilton Paris Opera,France
29948012h,DoubleTree by Hilton Hotel Edinburgh Airport,United Kingdom
29981099h,Conrad Bali,Indonesia
30014678h,DoubleTree by Hilton Hotel Istanbul - Old Town,Turkey
30021076h,Hilton Cologne,Germany
30021879h,DoubleTree by Hilton London Heathrow Airport,United Kingdom
30035305h,Hilton Saint Petersburg ExpoForum,Russia
30047899h,Hilton Garden Inn Stuttgart NeckarPark,Germany
30090585h,Conrad Makkah,Saudi Arabia
30097763h,"The Westminster London, Curio Collection by Hilton",United Kingdom
30097821h,Conrad Beijing,People's Republic of China
30139243h,Hilton Prague Old Town,Czech Republic
30140581h,DoubleTree by Hilton Hotel Oradea,Romania
30147522h,Hilton Dubai Jumeirah,United Arab Emirates
30174421h,Hilton Colombo Residences,Sri Lanka
30242708h,DoubleTree by Hilton Hotel Avanos - Cappadocia,Turkey
30251296h,Hilton Garden Inn Matera,Italy
30301927h,Hampton by Hilton Bristol City Centre,United Kingdom
30302746h,Hilton Brussels City,Belgium
30306779h,Hilton Adelaide,Australia
30307361h,Hilton Hurghada Plaza,Egypt
30308807h,Hilton Alexandria King's Ranch,Egypt
30337433h,Hilton Garden Inn Volgograd,Russia
30346525h,Hilton Edinburgh Grosvenor,United Kingdom
30347445h,DoubleTree by Hilton Hotel Milan,Italy
3037053h,Hilton Athens,Greece
30402016h,Hilton Belfast,United Kingdom
30407987h,DoubleTree by Hilton Hotel Wroclaw,Poland
30409284h,Hilton Vienna Park,Austria
30438998h,Hilton Dusseldorf,Germany
30504052h,DoubleTree by Hilton Hotel London - Marble Arch,United Kingdom
30504754h,Hilton Nottingham,United Kingdom
30522857h,Hilton Brussels Grand Place,Belgium
306000h,Abbasi Hotel,Iran
30644484h,Hotel Manger,United States of America
30736107h,Hilton Imperial Dubrovnik,Croatia
30927563h,Koriyama View Hotel Annex,Japan
31277862h,Hilton Tallinn Park,Estonia
3142395h,Hyatt Regency Paris Etoile,France
3153055h,InterContinental San Francisco,United States of America
31827676h,U zlatého anděla,Czech Republic
31827738h,U Medvídků,Czech Republic
3185653h,Joseph Smith Memorial Building,United States of America
31861463h,"Krajinská 41, Zátkův dům",Czech Republic
3192583h,Kanayama Minami Building,Japan
3278286h,Main Street Station Hotel and Casino and Brewery,United States of America
3281025h,APA Hotel & Resort Tokyo Bay Makuhari,Japan
32947262h,Hilton Garden Inn New Delhi/Saket,India
33035435h,DoubleTree by Hilton Hotel Istanbul - Moda,Turkey
33101471h,DoubleTree by Hilton Hotel Cluj - City Plaza,Romania
33189243h,Feuerschiff,Germany
33229354h,Hilton London Croydon,United Kingdom
33382454h,DoubleTree by Hilton Hotel Melbourne - Flinders Street,Australia
3356472h,The Orleans,United States of America
3359202h,Wyndham Grand İzmir Özdilek,Turkey
3389734h,Place Bonaventure,Canada
3414568h,Quinta das Lágrimas,Portugal
34204337h,Waldorf Astoria Dubai Palm Jumeirah,United Arab Emirates
3471438h,San Francisco Marriott Marquis,United States of America
3482309h,Shiodome Media Tower,Japan
3498798h,Hilton San Francisco Union Square,United States of America
3533060h,Tour Duo,France
3545225h,"Sam's Town Hotel and Gambling Hall, Las Vegas",United States of America
3699364h,Culver Hotel,United States of America
37857517h,Hampton by Hilton Birmingham Jewellery Quarter,United Kingdom
37858337h,Hampton by Hilton Glasgow Central,United Kingdom
37858682h,DoubleTree by Hilton Hotel Leeds City Centre,United Kingdom
