name,s
Hotel Porta Fira,1189944h
Hotel Pyramida,68167138h
"Hotel Ritz, incluindo o património integrado",66814366h
Hotel Santo Mauro,26707727h
Hotel Senator Gran Vía,28757959h
Hotel Torni,646339h
Hotel Tryp Cibeles,28757977h
Hotel Villa,98582250h
"Hotel Villa Magna, Madrid",64785112h
Hotel Weiss Kreuz,1630814h
"Hotel de las Letras, Madrid",5903511h
Hotelli Helsinki,98412731h
Hotelli Marskin talo,98412733h
Hyatt Regency Paris Etoile,3142395h
Hyatt Regency San Francisco,5952911h
Hybernská 12,18340195h
Hôtel La Pérouse,113564549h
Hôtel Napoléon,93121772h
Hôtel de Paris,13103085h
Hôtel des 3 Collèges,23265h
Hôtel van Ertborn,99583717h
Ibis Leeds Centre,66969175h
Inez Hotel,86754328h
InterContinental Budapest,15228738h
"InterContinental Chicago Magnificent Mile, an IHG Hotel",6044861h
InterContinental San Francisco,3153055h
JR Central Towers,6108856h
JR Gate Tower,11415297h
JW Marriott Las Vegas,6109264h
JW Marriott San Francisco Union Square,6109260h
Jackson Hotel,14689609h
Jeddah Hilton Hotel,6172690h
Joseph Smith Memorial Building,3185653h
Jumeirah Emirates Towers Hotel,1049027h
Jurys Inn Leeds,66924306h
Kanavakatu 8,98413370h
Kanayama Minami Building,3192583h
Kasra Vafadari House,5885917h
Kasteel Solhof,108729880h
Katajanokan vankilan rakennus,98433742h
Kaufhaus Jonaß,1504641h
"Kempinski Hotel Corvinus, Budapest",1106716h
Kenwith Castle,26617946h
"Kewadin Casino, Hotel and Convention Center",23305592h
Khesht Abad Hotel,110664670h
Khoshnevis Mansion,5884157h
King Edward Hotel,6411467h
King's Casino Rozvadov,60847568h
Kingdom Centre,656743h
Kirkland Hotel,1743514h
Koriyama View Hotel Annex,30927563h
"Krajinská 41, Zátkův dům",31861463h
Krrish Square,6439146h
Kurstraße 6,49594143h
"La Bagnaia Golf & Spa Resort Siena, Curio Collection by Hilton",61114082h
La Clef Louvre,20650664h
Lamar Hotel,108865646h
Las Vegas Club,4261384h
Las Vegas Plaza,2461831h
Lassen Hotel,6493973h
Leonardo City Tower Hotel,2908788h
Lepopirtti,112111547h
Lloyd-Bahnhof,16833188h
Loews Regency San Francisco,6747856h
Luxor Resort & Casino,637389h
Löwenburger Hof,1879918h
M Resort,264858h
MGM Grand Detroit,2416198h
MGM Grand Las Vegas,713960h
MLC Building,79309518h
Magnolia Hotel,14693298h
Main Street Station Hotel and Casino and Brewery,3278286h
Makkah Clock Royal Tower Hotel,18712428h
Makkah Millennium Hotel,28456180h
Malek al-Tojar House (Yazd),5683588h
Malekzadeh House (Yazd),5878173h
Mandalay Bay,1368043h
Mandarin Orchard Singapore,6747847h
Manor Apartment Hotel,6751307h
Manor House Hotel,107168152h
Manuchehri House (Kashan),5920727h
Merdeka 118,7969454h
Metropolis,6824905h
Millennium Hilton Bangkok,47518776h
Minor Sod House,6869131h
Monrepos,896259h
Moov Hotel Porto Centro,54475224h
Morrison Hotel,6914041h
Mosborough Hall,26546731h
Moshir Caravanserai,5892374h
Moshir Garden,5891776h
Mosteiro de Flor da Rosa,10332618h
Munkkiniemi education center,18760038h
Müritz Hotel,100877359h
NH Collection Porto Batalha,54475217h
Na můstku 10,106996884h
Nedermolen,115282741h
New York-New York Hotel and Casino,1429071h
Nisiyama Onsen Keiunkan,7040843h
Noccundra Hotel,28184310h
Nový Pachtovský palác,22583354h
Oakland Hotel,60767158h
Oheka Castle,696927h
Ostrovní 15,110251555h
Oubangui Hotel,105621651h
"Overtoom 33, Amsterdam",106090892h
Paasitorni,5710559h
Page-Walker Hotel,4385582h
Palace Hotel Residential Tower,7126178h
Palace Station,1795050h
Palacete B. Carrera,72177013h
Palacete do Chafariz d'El-Rei,53881282h
Palacio Oriol,28756542h
Palacio del Marqués de Velada,15640601h
Palatin Hotel Tel Aviv,2902501h
Palau Benet-Desvilar,47166648h
Palazzo Montemartini,57613527h
Palmetto House,113164146h
Palms Casino Resort,2048307h
Palácio Belmonte,10343928h
"Palácio Hotel de Bussaco, Palacete Hotel do Buçaco",66813051h
Palácio de Estói,10344021h
Palácio do Freixo,9054487h
Panquinkazerne,109451447h
Papelera Española building,29007102h
Paris Las Vegas,691491h
Parkhotel Praha,68121379h
Parnitha Sanatorium,65037569h
Pazo of the Maceda Counts,96757505h
Pellihof,73274620h
Place Bonaventure,3389734h
Place Viger,2363048h
Planet Hollywood Resort & Casino,1342565h
Plaza Hotel & Casino,7203612h
Pohjoinen Rautatiekatu 23,98432053h
Polebarn House,17533843h
Pousada de Condeixa-a-Nova,10352198h
Pousada de Viseu,10352206h
Price Tower,4260261h
Prince George Hotel,11700542h
Prinzenpalais,2110681h
Professional Building,7247936h
Pullman Bangkok Hotel G,7553769h
Putnam House,113051152h
Qorban Alizadeh House,5883194h
Quinta da Pacheca,54475112h
Quinta das Lágrimas,3414568h
RMS Queen Mary,752939h
Radisson Blu Hotel in Bamako,21532003h
Rawema-Haus,89425684h
"Red Rock Casino, Resort & Spa",7304924h
Renaissance Center,1541365h
Resorts World Las Vegas,14705265h
Rickman House,65043882h
Rio All-Suite Hotel and Casino,739914h
Ritz-Carlton Chicago,7336896h
Ritz-Carlton Toronto,1143174h
Riviera Hotel and Casino,1535845h
"Rome Cavalieri, A Waldorf Astoria Hotel",52886668h
Rossiya Hotel,1430318h
Royal Insurance Building,7374338h
Royal Mail Hotel,28184307h
"SAii Lagoon Maldives, Curio Collection by Hilton",110010967h
SEG Plaza,1368798h
Safir Sharm Waterfalls Resort,5764716h
Sahara Las Vegas,1147483h
"Sam's Town Hotel and Gambling Hall, Las Vegas",3545225h
San Francisco Marriott Marquis,3471438h
