s,museum_name,country_name
113363712m,Sandaig Island Life Museum,United Kingdom
113363713m,Clan Macalister Charitable Trust,United Kingdom
113363714m,Ness Heritage Centre,United Kingdom
113363715m,Uig Heritage Centre,United Kingdom
113363716m,Newry And Mourne Museum,United Kingdom
113363717m,Belleek Pottery Visitor Centre Museum,United Kingdom
113363718m,Blackwater Valley Museum,United Kingdom
113363719m,"Museum Nan Eilean, Sgoil Lionacleit",United Kingdom
113363720m,Taigh-tasgaidh Chill Donnain,United Kingdom
113363721m,Giant Angus Macaskill Museum,United Kingdom
113363722m,Raasay Heritage Centre,United Kingdom
113363723m,Gearannon Blackhouse Village,United Kingdom
113363724m,Craigavon Museum Service,United Kingdom
113363725m,Pairc Museum,United Kingdom
113363726m,Iona Heritage Centre,United Kingdom
113363727m,Urras Eachdraidh Sgire Bhearnaraidh,United Kingdom
113363728m,Bernera Museum,United Kingdom
113363729m,Comunn Eachdraidh Nis,United Kingdom
113363730m,Museum of the Royal Irish Regiment,United Kingdom
113363731m,Taigh Chearsabhagh Museum And Arts Centre,United Kingdom
113363732m,Navan Centre & Fort,United Kingdom
113363733m,Mallaig Heritage Centre,United Kingdom
113363734m,Cardinal O Fiaich Heritage Centre,United Kingdom
113363735m,"Museum Nan Eilean, Steornabhagh",United Kingdom
113363736m,Lurgan History Museum,United Kingdom
113363737m,Barra Heritage & Cultural Centre,United Kingdom
113363738m,Oban War & Peace Museum,United Kingdom
113363739m,The Old Waiting Room,United Kingdom
113363740m,Bellaghy Bawn,United Kingdom
113363741m,Kilmartin House,United Kingdom
113363742m,Ross Of Mull Historical Centre,United Kingdom
113363743m,Barn Museum,United Kingdom
113363744m,Brookeborough Vintage Cycles Museum,United Kingdom
113363745m,Limavady Museum (Green Lane Museum),United Kingdom
113363746m,"Land, Sea And Island Centre",United Kingdom
113363747m,Roddy McCorley Museum,United Kingdom
113363748m,Slate Islands Heritage Trust Museum,United Kingdom
113363749m,Bright Water Visitor Centre,United Kingdom
113363750m,Dan Winters House - Ancestral Home In The Farm Yard,United Kingdom
113363751m,Headhunters Barber Shop & Railway Museum,United Kingdom
113363752m,Flame Gasworks Museum,United Kingdom
113363753m,Applecross Heritage Centre,United Kingdom
113363754m,Sentry Hill,United Kingdom
113363755m,The Abingdon Collection,United Kingdom
113363757m,Ionad Naomh Moluag,United Kingdom
113363758m,Oh Yeah Music Centre,United Kingdom
113363759m,Aughakillymaude Mummers Centre,United Kingdom
113363760m,Grey Point Fort,United Kingdom
113363761m,Canna House,United Kingdom
113363762m,F.e. Mcwilliam Gallery And Studio,United Kingdom
